i	E(i)	g[i]
6	-116.000000	20613.596538
8	-112.000000	0.000000
10	-108.000000	20614.716316
12	-104.000000	20619.201583
14	-100.000000	20616.445470
16	-96.000000	20614.578511
18	-92.000000	20619.534819
20	-88.000000	20616.470071
22	-84.000000	20621.571664
24	-80.000000	20624.483953
26	-76.000000	20623.615417
28	-72.000000	20626.778823
30	-68.000000	20626.997652
32	-64.000000	20626.955593
34	-60.000000	20629.566606
36	-56.000000	20631.693250
38	-52.000000	20632.080908
40	-48.000000	20634.413481
42	-44.000000	20634.860003
44	-40.000000	20635.648936
46	-36.000000	20637.621806
48	-32.000000	20639.236642
50	-28.000000	20640.289013
52	-24.000000	20642.063760
54	-20.000000	20643.505085
56	-16.000000	20644.732368
58	-12.000000	20646.342252
60	-8.000000	20647.729814
62	-4.000000	20649.034421
64	0.000000	20650.542983
66	4.000000	20651.888393
68	8.000000	20653.241581
70	12.000000	20654.649884
72	16.000000	20655.989605
74	20.000000	20657.343667
76	24.000000	20658.702841
78	28.000000	20660.037471
80	32.000000	20661.353226
82	36.000000	20662.646500
84	40.000000	20664.002111
86	44.000000	20665.296862
88	48.000000	20666.594449
90	52.000000	20667.888802
92	56.000000	20669.173796
94	60.000000	20670.458430
96	64.000000	20671.713207
98	68.000000	20672.992336
100	72.000000	20674.272166
102	76.000000	20675.523552
104	80.000000	20676.770132
106	84.000000	20678.020946
108	88.000000	20679.269342
110	92.000000	20680.526332
112	96.000000	20681.746693
114	100.000000	20682.986154
116	104.000000	20684.230125
118	108.000000	20685.427099
120	112.000000	20686.656562
122	116.000000	20687.867343
124	120.000000	20689.075929
126	124.000000	20690.278533
128	128.000000	20691.461080
130	132.000000	20692.662485
132	136.000000	20693.858722
134	140.000000	20695.025041
136	144.000000	20696.201726
138	148.000000	20697.397751
140	152.000000	20698.567545
142	156.000000	20699.740748
144	160.000000	20700.906992
146	164.000000	20702.061311
148	168.000000	20703.217369
150	172.000000	20704.374246
152	176.000000	20705.526971
154	180.000000	20706.684585
156	184.000000	20707.808652
158	188.000000	20708.950690
160	192.000000	20710.111822
162	196.000000	20711.232557
164	200.000000	20712.384887
166	204.000000	20713.505597
168	208.000000	20714.656545
170	212.000000	20715.769774
172	216.000000	20716.903685
174	220.000000	20718.013024
176	224.000000	20719.122791
178	228.000000	20720.245547
180	232.000000	20721.341483
182	236.000000	20722.456082
184	240.000000	20723.569868
186	244.000000	20724.655714
188	248.000000	20725.766735
190	252.000000	20726.860127
192	256.000000	20727.949929
194	260.000000	20729.043402
196	264.000000	20730.120804
198	268.000000	20731.216813
200	272.000000	20732.304882
202	276.000000	20733.375176
204	280.000000	20734.472111
206	284.000000	20735.534257
208	288.000000	20736.621418
210	292.000000	20737.700759
212	296.000000	20738.757767
214	300.000000	20739.836030
216	304.000000	20740.882217
218	308.000000	20741.949942
220	312.000000	20743.001424
222	316.000000	20744.059980
224	320.000000	20745.119714
226	324.000000	20746.169712
228	328.000000	20747.227289
230	332.000000	20748.283656
232	336.000000	20749.327581
234	340.000000	20750.375205
236	344.000000	20751.422403
238	348.000000	20752.473042
240	352.000000	20753.525374
242	356.000000	20754.568315
244	360.000000	20755.609736
246	364.000000	20756.638449
248	368.000000	20757.671805
250	372.000000	20758.700595
252	376.000000	20759.727263
254	380.000000	20760.748711
256	384.000000	20761.786767
258	388.000000	20762.804791
260	392.000000	20763.834697
262	396.000000	20764.852563
264	400.000000	20765.865004
266	404.000000	20766.874111
268	408.000000	20767.899428
270	412.000000	20768.920052
272	416.000000	20769.922692
274	420.000000	20770.946346
276	424.000000	20771.960451
278	428.000000	20772.963054
280	432.000000	20773.976029
282	436.000000	20774.979816
284	440.000000	20775.966982
286	444.000000	20776.987907
288	448.000000	20777.968793
290	452.000000	20778.980234
292	456.000000	20779.964994
294	460.000000	20780.970316
296	464.000000	20781.946227
298	468.000000	20782.957644
300	472.000000	20783.932974
302	476.000000	20784.928170
304	480.000000	20785.889098
306	484.000000	20786.889854
308	488.000000	20787.871748
310	492.000000	20788.854101
312	496.000000	20789.834579
314	500.000000	20790.803784
316	504.000000	20791.784827
318	508.000000	20792.787139
320	512.000000	20793.752959
322	516.000000	20794.715557
324	520.000000	20795.711749
326	524.000000	20796.677439
328	528.000000	20797.642077
330	532.000000	20798.609637
332	536.000000	20799.591172
334	540.000000	20800.558284
336	544.000000	20801.511953
338	548.000000	20802.481751
340	552.000000	20803.441433
342	556.000000	20804.410653
344	560.000000	20805.367164
346	564.000000	20806.322976
348	568.000000	20807.283202
350	572.000000	20808.237821
352	576.000000	20809.195767
354	580.000000	20810.150717
356	584.000000	20811.104404
358	588.000000	20812.054766
360	592.000000	20813.022157
362	596.000000	20813.965143
364	600.000000	20814.911457
366	604.000000	20815.855749
368	608.000000	20816.795308
370	612.000000	20817.731095
372	616.000000	20818.679868
374	620.000000	20819.617411
376	624.000000	20820.573398
378	628.000000	20821.512130
380	632.000000	20822.452525
382	636.000000	20823.391420
384	640.000000	20824.333837
386	644.000000	20825.271651
388	648.000000	20826.210350
390	652.000000	20827.152013
392	656.000000	20828.080335
394	660.000000	20829.013219
396	664.000000	20829.953755
398	668.000000	20830.887978
400	672.000000	20831.822701
402	676.000000	20832.742750
404	680.000000	20833.666811
406	684.000000	20834.587388
408	688.000000	20835.514724
410	692.000000	20836.444858
412	696.000000	20837.369970
414	700.000000	20838.285010
416	704.000000	20839.204223
418	708.000000	20840.125638
420	712.000000	20841.049022
422	716.000000	20841.951067
424	720.000000	20842.867273
426	724.000000	20843.791743
428	728.000000	20844.708806
430	732.000000	20845.615422
432	736.000000	20846.521585
434	740.000000	20847.430795
436	744.000000	20848.347604
438	748.000000	20849.254390
440	752.000000	20850.164569
442	756.000000	20851.072971
444	760.000000	20851.979472
446	764.000000	20852.897471
448	768.000000	20853.805745
450	772.000000	20854.723814
452	776.000000	20855.631574
454	780.000000	20856.529384
456	784.000000	20857.442607
458	788.000000	20858.330816
460	792.000000	20859.233597
462	796.000000	20860.143456
464	800.000000	20861.049985
466	804.000000	20861.946813
468	808.000000	20862.852369
470	812.000000	20863.770549
472	816.000000	20864.674147
474	820.000000	20865.573538
476	824.000000	20866.479054
478	828.000000	20867.371303
480	832.000000	20868.265208
482	836.000000	20869.181013
484	840.000000	20870.079705
486	844.000000	20870.964947
488	848.000000	20871.874314
490	852.000000	20872.772261
492	856.000000	20873.674803
494	860.000000	20874.562126
496	864.000000	20875.467967
498	868.000000	20876.369252
500	872.000000	20877.264443
502	876.000000	20878.162015
504	880.000000	20879.046062
506	884.000000	20879.939406
508	888.000000	20880.835982
510	892.000000	20881.738522
512	896.000000	20882.647813
514	900.000000	20883.543090
516	904.000000	20884.437101
518	908.000000	20885.326614
520	912.000000	20886.219944
522	916.000000	20887.106011
524	920.000000	20887.989510
526	924.000000	20888.883693
528	928.000000	20889.786884
530	932.000000	20890.668830
532	936.000000	20891.559383
534	940.000000	20892.452951
536	944.000000	20893.339253
538	948.000000	20894.227132
540	952.000000	20895.108020
542	956.000000	20895.989689
544	960.000000	20896.874135
546	964.000000	20897.750102
548	968.000000	20898.628891
550	972.000000	20899.506229
552	976.000000	20900.367995
554	980.000000	20901.223170
556	984.000000	20902.088003
558	988.000000	20902.951608
560	992.000000	20903.817022
562	996.000000	20904.687243
564	1000.000000	20905.537197
566	1004.000000	20906.405751
568	1008.000000	20907.252190
570	1012.000000	20908.105480
572	1016.000000	20908.942771
574	1020.000000	20909.784844
576	1024.000000	20910.620647
578	1028.000000	20911.447587
580	1032.000000	20912.264029
582	1036.000000	20913.082301
584	1040.000000	20913.916561
586	1044.000000	20914.735423
588	1048.000000	20915.555661
590	1052.000000	20916.369517
592	1056.000000	20917.170437
594	1060.000000	20917.965968
596	1064.000000	20918.761441
598	1068.000000	20919.555258
600	1072.000000	20920.344611
602	1076.000000	20921.116845
604	1080.000000	20921.900780
606	1084.000000	20922.676844
608	1088.000000	20923.440246
610	1092.000000	20924.194562
612	1096.000000	20924.954204
614	1100.000000	20925.710210
616	1104.000000	20926.449004
618	1108.000000	20927.197233
620	1112.000000	20927.933936
622	1116.000000	20928.657969
624	1120.000000	20929.389041
626	1124.000000	20930.100234
628	1128.000000	20930.817453
630	1132.000000	20931.528633
632	1136.000000	20932.226916
634	1140.000000	20932.925046
636	1144.000000	20933.622238
638	1148.000000	20934.309595
640	1152.000000	20934.997488
642	1156.000000	20935.674733
644	1160.000000	20936.349696
646	1164.000000	20937.012066
648	1168.000000	20937.669942
650	1172.000000	20938.319687
652	1176.000000	20938.954839
654	1180.000000	20939.600243
656	1184.000000	20940.225205
658	1188.000000	20940.847083
660	1192.000000	20941.461377
662	1196.000000	20942.076880
664	1200.000000	20942.678581
666	1204.000000	20943.272346
668	1208.000000	20943.850342
670	1212.000000	20944.427322
672	1216.000000	20944.995034
674	1220.000000	20945.561321
676	1224.000000	20946.123668
678	1228.000000	20946.679444
680	1232.000000	20947.222169
682	1236.000000	20947.756373
684	1240.000000	20948.281101
686	1244.000000	20948.808318
688	1248.000000	20949.315343
690	1252.000000	20949.819426
692	1256.000000	20950.321336
694	1260.000000	20950.803483
696	1264.000000	20951.297927
698	1268.000000	20951.770628
700	1272.000000	20952.237428
702	1276.000000	20952.697267
704	1280.000000	20953.143571
706	1284.000000	20953.578086
708	1288.000000	20954.003466
710	1292.000000	20954.424521
712	1296.000000	20954.832672
714	1300.000000	20955.233248
716	1304.000000	20955.632330
718	1308.000000	20956.026664
720	1312.000000	20956.407552
722	1316.000000	20956.767998
724	1320.000000	20957.131680
726	1324.000000	20957.489324
728	1328.000000	20957.836016
730	1332.000000	20958.174748
732	1336.000000	20958.491516
734	1340.000000	20958.807704
736	1344.000000	20959.114511
738	1348.000000	20959.417403
740	1352.000000	20959.700141
742	1356.000000	20959.990097
744	1360.000000	20960.264685
746	1364.000000	20960.526108
748	1368.000000	20960.781018
750	1372.000000	20961.023906
752	1376.000000	20961.253169
754	1380.000000	20961.480480
756	1384.000000	20961.687039
758	1388.000000	20961.893957
760	1392.000000	20962.083573
762	1396.000000	20962.269754
764	1400.000000	20962.452134
766	1404.000000	20962.612449
768	1408.000000	20962.771308
770	1412.000000	20962.913206
772	1416.000000	20963.045692
774	1420.000000	20963.162949
776	1424.000000	20963.276552
778	1428.000000	20963.386692
780	1432.000000	20963.484050
782	1436.000000	20963.581349
784	1440.000000	20963.663448
786	1444.000000	20963.729810
788	1448.000000	20963.786367
790	1452.000000	20963.830444
792	1456.000000	20963.867709
794	1460.000000	20963.900091
796	1464.000000	20963.920904
798	1468.000000	20963.923815
800	1472.000000	20963.924015
802	1476.000000	20963.913649
804	1480.000000	20963.896596
806	1484.000000	20963.864598
808	1488.000000	20963.812203
810	1492.000000	20963.761069
812	1496.000000	20963.698695
814	1500.000000	20963.626941
816	1504.000000	20963.540205
818	1508.000000	20963.447857
820	1512.000000	20963.344665
822	1516.000000	20963.233949
824	1520.000000	20963.107416
826	1524.000000	20962.972233
828	1528.000000	20962.820908
830	1532.000000	20962.670241
832	1536.000000	20962.507823
834	1540.000000	20962.328514
836	1544.000000	20962.143236
838	1548.000000	20961.952039
840	1552.000000	20961.752828
842	1556.000000	20961.541380
844	1560.000000	20961.317176
846	1564.000000	20961.089855
848	1568.000000	20960.851145
850	1572.000000	20960.598910
852	1576.000000	20960.338627
854	1580.000000	20960.067231
856	1584.000000	20959.790255
858	1588.000000	20959.504000
860	1592.000000	20959.202999
862	1596.000000	20958.897804
864	1600.000000	20958.579401
866	1604.000000	20958.251512
868	1608.000000	20957.922010
870	1612.000000	20957.585779
872	1616.000000	20957.229370
874	1620.000000	20956.866295
876	1624.000000	20956.490227
878	1628.000000	20956.111888
880	1632.000000	20955.711597
882	1636.000000	20955.317043
884	1640.000000	20954.904429
886	1644.000000	20954.490189
888	1648.000000	20954.065795
890	1652.000000	20953.635234
892	1656.000000	20953.190229
894	1660.000000	20952.735337
896	1664.000000	20952.273139
898	1668.000000	20951.807199
900	1672.000000	20951.329372
902	1676.000000	20950.846708
904	1680.000000	20950.349505
906	1684.000000	20949.840954
908	1688.000000	20949.319693
910	1692.000000	20948.796708
912	1696.000000	20948.260943
914	1700.000000	20947.718445
916	1704.000000	20947.173808
918	1708.000000	20946.617122
920	1712.000000	20946.061204
922	1716.000000	20945.487399
924	1720.000000	20944.907753
926	1724.000000	20944.318276
928	1728.000000	20943.711791
930	1732.000000	20943.109435
932	1736.000000	20942.503961
934	1740.000000	20941.888012
936	1744.000000	20941.262116
938	1748.000000	20940.635667
940	1752.000000	20940.007448
942	1756.000000	20939.358479
944	1760.000000	20938.710427
946	1764.000000	20938.051203
948	1768.000000	20937.385082
950	1772.000000	20936.712963
952	1776.000000	20936.038504
954	1780.000000	20935.349421
956	1784.000000	20934.661324
958	1788.000000	20933.970321
960	1792.000000	20933.261525
962	1796.000000	20932.550822
964	1800.000000	20931.830130
966	1804.000000	20931.096534
968	1808.000000	20930.369081
970	1812.000000	20929.629872
972	1816.000000	20928.883613
974	1820.000000	20928.135542
976	1824.000000	20927.378349
978	1828.000000	20926.620558
980	1832.000000	20925.856173
982	1836.000000	20925.091177
984	1840.000000	20924.318050
986	1844.000000	20925.089342
988	1848.000000	20924.315455
990	1852.000000	20923.522285
992	1856.000000	20922.729913
994	1860.000000	20921.927935
996	1864.000000	20921.128494
998	1868.000000	20922.766827
1000	1872.000000	20921.948528
1002	1876.000000	20921.136856
1004	1880.000000	20920.317917
1006	1884.000000	20919.504741
1008	1888.000000	20918.685834
1010	1892.000000	20917.830866
1012	1896.000000	20922.679044
1014	1900.000000	20921.831775
1016	1904.000000	20920.995233
1018	1908.000000	20920.114200
1020	1912.000000	20919.205295
1022	1916.000000	20918.255474
1024	1920.000000	0.000000
