T	Ut	Ft	St	Ct
0.01000000	-1.96875000	-10.14361643	817.48664280	0.00000000
0.02000000	-1.96875000	-18.31848286	817.48664280	0.00000000
0.03000000	-1.96875000	-26.49334928	817.48664280	0.00000000
0.04000000	-1.96875000	-34.66821571	817.48664280	0.00000000
0.05000000	-1.96875000	-42.84308214	817.48664280	0.00000000
0.06000000	-1.96875000	-51.01794857	817.48664280	0.00000000
0.07000000	-1.96875000	-59.19281500	817.48664280	0.00000000
0.08000000	-1.96875000	-67.36768142	817.48664280	0.00000000
0.09000000	-1.96875000	-75.54254785	817.48664280	0.00000000
0.10000000	-1.96875000	-83.71741428	817.48664280	0.00000000
0.11000000	-1.96875000	-91.89228071	817.48664280	-0.00000000
0.12000000	-1.96875000	-100.06714714	817.48664280	0.00000000
0.13000000	-1.96875000	-108.24201356	817.48664280	0.00000000
0.14000000	-1.96875000	-116.41687999	817.48664280	0.00000000
0.15000000	-1.96875000	-124.59174642	817.48664280	0.00000000
0.16000000	-1.96875000	-132.76661285	817.48664280	0.00000000
0.17000000	-1.96875000	-140.94147928	817.48664280	0.00000000
0.18000000	-1.96875000	-149.11634570	817.48664280	0.00000000
0.19000000	-1.96875000	-157.29121213	817.48664280	0.00000000
0.20000000	-1.96875000	-165.46607856	817.48664280	0.00000001
0.21000000	-1.96875000	-173.64094499	817.48664281	0.00000002
0.22000000	-1.96875000	-181.81581142	817.48664281	0.00000003
0.23000000	-1.96875000	-189.99067785	817.48664281	0.00000007
0.24000000	-1.96875000	-198.16554427	817.48664281	0.00000013
0.25000000	-1.96875000	-206.34041070	817.48664282	0.00000023
0.26000000	-1.96874999	-214.51527713	817.48664283	0.00000039
0.27000000	-1.96874999	-222.69014356	817.48664285	0.00000064
0.28000000	-1.96874998	-230.86500999	817.48664288	0.00000101
0.29000000	-1.96874997	-239.03987642	817.48664292	0.00000154
0.30000000	-1.96874995	-247.21474285	817.48664299	0.00000228
0.31000000	-1.96874992	-255.38960928	817.48664308	0.00000328
0.32000000	-1.96874988	-263.56447571	817.48664320	0.00000461
0.33000000	-1.96874983	-271.73934214	817.48664337	0.00000634
0.34000000	-1.96874975	-279.91420857	817.48664359	0.00000853
0.35000000	-1.96874966	-288.08907501	817.48664388	0.00001128
0.36000000	-1.96874953	-296.26394145	817.48664424	0.00001466
0.37000000	-1.96874936	-304.43880790	817.48664470	0.00001876
0.38000000	-1.96874915	-312.61367435	817.48664526	0.00002369
0.39000000	-1.96874888	-320.78854080	817.48664595	0.00002952
0.40000000	-1.96874855	-328.96340727	817.48664678	0.00003637
0.41000000	-1.96874815	-337.13827374	817.48664777	0.00004433
0.42000000	-1.96874766	-345.31314022	817.48664895	0.00005351
0.43000000	-1.96874708	-353.48800672	817.48665033	0.00006402
0.44000000	-1.96874638	-361.66287323	817.48665193	0.00007598
0.45000000	-1.96874555	-369.83773976	817.48665379	0.00008950
0.46000000	-1.96874458	-378.01260631	817.48665592	0.00010472
0.47000000	-1.96874345	-386.18747288	817.48665835	0.00012178
0.48000000	-1.96874214	-394.36233947	817.48666111	0.00014083
0.49000000	-1.96874063	-402.53720610	817.48666423	0.00016205
0.50000000	-1.96873889	-410.71207276	817.48666774	0.00018559
0.51000000	-1.96873691	-418.88693946	817.48667167	0.00021168
0.52000000	-1.96873465	-427.06180619	817.48667605	0.00024053
0.53000000	-1.96873209	-435.23667298	817.48668093	0.00027236
0.54000000	-1.96872919	-443.41153982	817.48668634	0.00030746
0.55000000	-1.96872593	-451.58640671	817.48669233	0.00034609
0.56000000	-1.96872226	-459.76127366	817.48669894	0.00038857
0.57000000	-1.96871814	-467.93614069	817.48670623	0.00043523
0.58000000	-1.96871354	-476.11100779	817.48671423	0.00048643
0.59000000	-1.96870840	-484.28587498	817.48672302	0.00054255
0.60000000	-1.96870267	-492.46074225	817.48673264	0.00060400
0.61000000	-1.96869630	-500.63560963	817.48674317	0.00067121
0.62000000	-1.96868922	-508.81047712	817.48675467	0.00074463
0.63000000	-1.96868138	-516.98534473	817.48676722	0.00082474
0.64000000	-1.96867270	-525.16021247	817.48678088	0.00091203
0.65000000	-1.96866311	-533.33508035	817.48679575	0.00100701
0.66000000	-1.96865254	-541.50994839	817.48681190	0.00111020
0.67000000	-1.96864088	-549.68481659	817.48682942	0.00122214
0.68000000	-1.96862806	-557.85968498	817.48684841	0.00134338
0.69000000	-1.96861398	-566.03455357	817.48686896	0.00147445
0.70000000	-1.96859854	-574.20942237	817.48689118	0.00161591
0.71000000	-1.96858163	-582.38429140	817.48691517	0.00176830
0.72000000	-1.96856313	-590.55916068	817.48694103	0.00193217
0.73000000	-1.96854294	-598.73403022	817.48696888	0.00210803
0.74000000	-1.96852093	-606.90890006	817.48699882	0.00229640
0.75000000	-1.96849697	-615.08377021	817.48703098	0.00249777
0.76000000	-1.96847093	-623.25864069	817.48706547	0.00271261
0.77000000	-1.96844267	-631.43351152	817.48710240	0.00294134
