i	E(i)	g[i]
6	-500.000000	0.693478
8	-496.000000	4.883835
10	-492.000000	2.830882
12	-488.000000	5.614783
14	-484.000000	7.719625
16	-480.000000	8.479764
18	-476.000000	10.702179
20	-472.000000	12.885896
22	-468.000000	15.034396
24	-464.000000	16.001344
26	-460.000000	18.092197
28	-456.000000	20.159314
30	-452.000000	22.206562
32	-448.000000	24.224306
34	-444.000000	26.209193
36	-440.000000	28.180753
38	-436.000000	30.132388
40	-432.000000	32.064691
42	-428.000000	33.990461
44	-424.000000	35.884416
46	-420.000000	37.765370
48	-416.000000	39.624992
50	-412.000000	41.485456
52	-408.000000	43.328418
54	-404.000000	45.158484
56	-400.000000	46.985563
58	-396.000000	48.798065
60	-392.000000	50.595091
62	-388.000000	52.380831
64	-384.000000	54.165710
66	-380.000000	55.943775
68	-376.000000	57.710830
70	-372.000000	59.474854
72	-368.000000	61.226149
74	-364.000000	62.977494
76	-360.000000	64.715837
78	-356.000000	66.449077
80	-352.000000	68.181147
82	-348.000000	69.901337
84	-344.000000	71.619020
86	-340.000000	73.333070
88	-336.000000	75.051000
90	-332.000000	76.754807
92	-328.000000	78.452461
94	-324.000000	80.154191
96	-320.000000	81.853305
98	-316.000000	83.541314
100	-312.000000	85.229164
102	-308.000000	86.909961
104	-304.000000	88.583161
106	-300.000000	90.246580
108	-296.000000	91.903375
110	-292.000000	93.549018
112	-288.000000	95.190534
114	-284.000000	96.818023
116	-280.000000	98.435239
118	-276.000000	100.049089
120	-272.000000	101.647904
122	-268.000000	103.234220
124	-264.000000	104.811206
126	-260.000000	106.377021
128	-256.000000	107.929870
130	-252.000000	109.466039
132	-248.000000	110.995674
134	-244.000000	112.502472
136	-240.000000	114.001832
138	-236.000000	115.484392
140	-232.000000	116.953983
142	-228.000000	118.417796
144	-224.000000	119.854373
146	-220.000000	121.279871
148	-216.000000	122.691769
150	-212.000000	124.091693
152	-208.000000	125.469644
154	-204.000000	126.829842
156	-200.000000	128.178334
158	-196.000000	129.508009
160	-192.000000	130.820565
162	-188.000000	132.111589
164	-184.000000	133.389162
166	-180.000000	134.645711
168	-176.000000	135.884171
170	-172.000000	137.104233
172	-168.000000	138.304000
174	-164.000000	139.483017
176	-160.000000	140.643101
178	-156.000000	141.788063
180	-152.000000	142.909689
182	-148.000000	144.010536
184	-144.000000	145.090495
186	-140.000000	146.148065
188	-136.000000	147.185393
190	-132.000000	148.200109
192	-128.000000	149.196316
194	-124.000000	150.168606
196	-120.000000	151.116487
198	-116.000000	152.042810
200	-112.000000	152.946931
202	-108.000000	153.824611
204	-104.000000	154.681837
206	-100.000000	155.513317
208	-96.000000	156.321889
210	-92.000000	157.102733
212	-88.000000	157.861148
214	-84.000000	158.594830
216	-80.000000	159.303950
218	-76.000000	159.989349
220	-72.000000	160.648133
222	-68.000000	161.274228
224	-64.000000	161.878591
226	-60.000000	162.450671
228	-56.000000	162.998849
230	-52.000000	163.518723
232	-48.000000	164.010266
234	-44.000000	164.475589
236	-40.000000	164.916303
238	-36.000000	165.330113
240	-32.000000	165.713392
242	-28.000000	166.066374
244	-24.000000	166.392406
246	-20.000000	166.690241
248	-16.000000	166.961911
250	-12.000000	167.199006
252	-8.000000	167.410724
254	-4.000000	167.592751
256	0.000000	167.745259
258	4.000000	167.869422
260	8.000000	167.961733
262	12.000000	168.025293
264	16.000000	168.057103
266	20.000000	168.061978
268	24.000000	168.035935
270	28.000000	167.982170
272	32.000000	167.897850
274	36.000000	167.786294
276	40.000000	167.643030
278	44.000000	167.471268
280	48.000000	167.269338
282	52.000000	167.038693
284	56.000000	166.778239
286	60.000000	166.489385
288	64.000000	166.172983
290	68.000000	165.830085
292	72.000000	165.455989
294	76.000000	165.053727
296	80.000000	164.623754
298	84.000000	164.166458
300	88.000000	163.680606
302	92.000000	163.168462
304	96.000000	162.632249
306	100.000000	162.067133
308	104.000000	161.473312
310	108.000000	160.857399
312	112.000000	160.214600
314	116.000000	159.543835
316	120.000000	158.848394
318	124.000000	158.129001
320	128.000000	157.383407
322	132.000000	156.613798
324	136.000000	155.822301
326	140.000000	155.011194
328	144.000000	154.168015
330	148.000000	153.303864
332	152.000000	152.411817
334	156.000000	151.502622
336	160.000000	150.567768
338	164.000000	149.611327
340	168.000000	148.629579
342	172.000000	147.625449
344	176.000000	146.607615
346	180.000000	145.563877
348	184.000000	144.497257
350	188.000000	143.409275
352	192.000000	142.302042
354	196.000000	141.171817
356	200.000000	140.025295
358	204.000000	138.856259
360	208.000000	137.667976
362	212.000000	136.465407
364	216.000000	135.236540
366	220.000000	133.987418
368	224.000000	132.726512
370	228.000000	131.449567
372	232.000000	130.149200
374	236.000000	128.834230
376	240.000000	127.504121
378	244.000000	126.156438
380	248.000000	124.791203
382	252.000000	123.411535
384	256.000000	122.013462
386	260.000000	120.597784
388	264.000000	119.171924
390	268.000000	117.724304
392	272.000000	116.262679
394	276.000000	114.787014
396	280.000000	113.298518
398	284.000000	111.803382
400	288.000000	110.283096
402	292.000000	108.751489
404	296.000000	107.209850
406	300.000000	105.657691
408	304.000000	104.094622
410	308.000000	102.516026
412	312.000000	100.926629
414	316.000000	99.327674
416	320.000000	97.711104
418	324.000000	96.093366
420	328.000000	94.458232
422	332.000000	92.817271
424	336.000000	91.169538
426	340.000000	89.510392
428	344.000000	87.849042
430	348.000000	86.176984
432	352.000000	84.507132
434	356.000000	82.826810
436	360.000000	81.136916
438	364.000000	79.443773
440	368.000000	77.744226
442	372.000000	76.038464
444	376.000000	74.339318
446	380.000000	72.630852
448	384.000000	70.920288
450	388.000000	69.195817
452	392.000000	67.470347
454	396.000000	65.741082
456	400.000000	64.004925
458	404.000000	62.261252
460	408.000000	60.511279
462	412.000000	58.762209
464	416.000000	56.992899
466	420.000000	55.234226
468	424.000000	53.460246
470	428.000000	51.677229
472	432.000000	49.886547
474	436.000000	48.073446
476	440.000000	46.263292
478	444.000000	44.441782
480	448.000000	42.605443
482	452.000000	40.762129
484	456.000000	38.905797
486	460.000000	37.019878
488	464.000000	35.143923
490	468.000000	33.231894
492	472.000000	32.530080
494	476.000000	30.600814
496	480.000000	28.669980
498	484.000000	26.702976
500	488.000000	26.484678
502	492.000000	24.465730
504	496.000000	22.465564
506	500.000000	24.553038
508	504.000000	22.542599
510	508.000000	20.418655
512	512.000000	0.000000
