T	Ut	Ft	St	Ct
0.01000000	-1.93750000	-9.94750000	800.99999998	0.00000000
0.02000000	-1.93750000	-17.95750000	800.99999998	0.00000000
0.03000000	-1.93750000	-25.96750000	800.99999998	0.00000000
0.04000000	-1.93750000	-33.97750000	800.99999998	0.00000000
0.05000000	-1.93750000	-41.98750000	800.99999998	0.00000000
0.06000000	-1.93750000	-49.99750000	800.99999998	0.00000000
0.07000000	-1.93750000	-58.00750000	800.99999998	0.00000000
0.08000000	-1.93750000	-66.01750000	800.99999998	0.00000000
0.09000000	-1.93750000	-74.02750000	800.99999998	0.00000000
0.10000000	-1.93750000	-82.03750000	800.99999998	0.00000000
0.11000000	-1.93750000	-90.04750000	800.99999998	0.00000000
0.12000000	-1.93750000	-98.05750000	800.99999998	0.00000000
0.13000000	-1.93750000	-106.06750000	800.99999998	0.00000000
0.14000000	-1.93750000	-114.07750000	800.99999998	0.00000000
0.15000000	-1.93750000	-122.08750000	800.99999998	0.00000000
0.16000000	-1.93750000	-130.09750000	800.99999998	0.00000000
0.17000000	-1.93750000	-138.10750000	800.99999998	0.00000000
0.18000000	-1.93750000	-146.11750000	800.99999998	0.00000001
0.19000000	-1.93750000	-154.12750000	800.99999998	0.00000004
0.20000000	-1.93750000	-162.13750000	800.99999999	0.00000010
0.21000000	-1.93750000	-170.14750000	800.99999999	0.00000022
0.22000000	-1.93749999	-178.15750000	801.00000001	0.00000048
0.23000000	-1.93749999	-186.16750000	801.00000004	0.00000098
0.24000000	-1.93749997	-194.17750000	801.00000010	0.00000185
0.25000000	-1.93749995	-202.18750000	801.00000020	0.00000333
0.26000000	-1.93749990	-210.19750000	801.00000038	0.00000569
0.27000000	-1.93749983	-218.20750001	801.00000065	0.00000933
0.28000000	-1.93749971	-226.21750002	801.00000109	0.00001472
0.29000000	-1.93749953	-234.22750003	801.00000173	0.00002246
0.30000000	-1.93749925	-242.23750005	801.00000266	0.00003324
0.31000000	-1.93749885	-250.24750008	801.00000398	0.00004786
0.32000000	-1.93749828	-258.25750013	801.00000579	0.00006722
