T	Ut	Ft	St	Ct
0.0100	-1.9995	-2.0324	3.2894	0.0000
0.0200	-1.9995	-2.0653	3.2894	0.0000
0.0300	-1.9995	-2.0982	3.2894	0.0000
0.0400	-1.9995	-2.1311	3.2894	0.0000
0.0500	-1.9995	-2.1640	3.2894	0.0000
0.0600	-1.9995	-2.1969	3.2894	0.0000
0.0700	-1.9995	-2.2298	3.2894	0.0000
0.0800	-1.9995	-2.2627	3.2894	0.0000
0.0900	-1.9995	-2.2956	3.2894	0.0000
0.1000	-1.9995	-2.3284	3.2894	0.0000
0.1100	-1.9995	-2.3613	3.2894	0.0000
0.1200	-1.9995	-2.3942	3.2894	0.0000
0.1300	-1.9995	-2.4271	3.2894	-0.0000
0.1400	-1.9995	-2.4600	3.2894	-0.0000
0.1500	-1.9995	-2.4929	3.2894	-0.0000
0.1600	-1.9995	-2.5258	3.2894	-0.0000
0.1700	-1.9995	-2.5587	3.2894	-0.0000
0.1800	-1.9995	-2.5916	3.2894	0.0000
0.1900	-1.9995	-2.6245	3.2894	0.0000
0.2000	-1.9995	-2.6574	3.2894	0.0000
0.2100	-1.9995	-2.6903	3.2894	0.0000
0.2200	-1.9995	-2.7232	3.2894	0.0000
0.2300	-1.9995	-2.7561	3.2894	0.0000
0.2400	-1.9995	-2.7890	3.2894	0.0000
0.2500	-1.9995	-2.8219	3.2894	0.0000
0.2600	-1.9995	-2.8547	3.2894	0.0000
0.2700	-1.9995	-2.8876	3.2894	0.0000
0.2800	-1.9995	-2.9205	3.2894	0.0000
0.2900	-1.9995	-2.9534	3.2894	0.0000
0.3000	-1.9995	-2.9863	3.2894	0.0000
0.3100	-1.9995	-3.0192	3.2894	0.0000
0.3200	-1.9995	-3.0521	3.2894	0.0000
0.3300	-1.9995	-3.0850	3.2894	0.0000
0.3400	-1.9995	-3.1179	3.2894	0.0000
0.3500	-1.9995	-3.1508	3.2894	0.0000
0.3600	-1.9995	-3.1837	3.2894	0.0000
0.3700	-1.9995	-3.2166	3.2894	0.0000
0.3800	-1.9995	-3.2495	3.2894	0.0000
0.3900	-1.9995	-3.2824	3.2894	0.0000
0.4000	-1.9995	-3.3153	3.2894	0.0000
0.4100	-1.9995	-3.3482	3.2894	0.0000
0.4200	-1.9995	-3.3810	3.2894	0.0000
0.4300	-1.9995	-3.4139	3.2894	0.0000
0.4400	-1.9995	-3.4468	3.2894	0.0000
0.4500	-1.9995	-3.4797	3.2894	0.0000
0.4600	-1.9995	-3.5126	3.2894	0.0000
0.4700	-1.9995	-3.5455	3.2894	0.0000
0.4800	-1.9995	-3.5784	3.2894	0.0000
0.4900	-1.9995	-3.6113	3.2894	0.0000
0.5000	-1.9995	-3.6442	3.2894	0.0000
0.5100	-1.9995	-3.6771	3.2894	0.0000
0.5200	-1.9995	-3.7100	3.2894	0.0000
0.5300	-1.9995	-3.7429	3.2894	0.0000
0.5400	-1.9995	-3.7758	3.2894	0.0000
0.5500	-1.9995	-3.8087	3.2894	0.0000
0.5600	-1.9995	-3.8416	3.2894	0.0000
0.5700	-1.9995	-3.8744	3.2894	0.0000
0.5800	-1.9995	-3.9073	3.2894	0.0001
0.5900	-1.9995	-3.9402	3.2894	0.0001
0.6000	-1.9995	-3.9731	3.2894	0.0001
0.6100	-1.9995	-4.0060	3.2894	0.0001
0.6200	-1.9995	-4.0389	3.2894	0.0001
0.6300	-1.9995	-4.0718	3.2894	0.0001
0.6400	-1.9995	-4.1047	3.2894	0.0002
0.6500	-1.9995	-4.1376	3.2894	0.0002
0.6600	-1.9995	-4.1705	3.2894	0.0002
0.6700	-1.9995	-4.2034	3.2894	0.0003
0.6800	-1.9995	-4.2363	3.2894	0.0003
0.6900	-1.9995	-4.2692	3.2894	0.0004
0.7000	-1.9995	-4.3021	3.2894	0.0004
0.7100	-1.9995	-4.3350	3.2894	0.0005
0.7200	-1.9995	-4.3679	3.2894	0.0006
0.7300	-1.9995	-4.4008	3.2894	0.0006
0.7400	-1.9995	-4.4336	3.2894	0.0007
0.7500	-1.9995	-4.4665	3.2894	0.0008
0.7600	-1.9994	-4.4994	3.2895	0.0010
0.7700	-1.9994	-4.5323	3.2895	0.0011
0.7800	-1.9994	-4.5652	3.2895	0.0013
0.7900	-1.9994	-4.5981	3.2895	0.0014
0.8000	-1.9994	-4.6310	3.2895	0.0016
0.8100	-1.9994	-4.6639	3.2895	0.0019
0.8200	-1.9994	-4.6968	3.2896	0.0022
0.8300	-1.9993	-4.7297	3.2896	0.0025
0.8400	-1.9993	-4.7626	3.2896	0.0029
0.8500	-1.9993	-4.7955	3.2897	0.0033
0.8600	-1.9992	-4.8284	3.2897	0.0039
0.8700	-1.9992	-4.8613	3.2898	0.0045
0.8800	-1.9992	-4.8942	3.2898	0.0052
0.8900	-1.9991	-4.9271	3.2899	0.0061
0.9000	-1.9990	-4.9600	3.2899	0.0071
0.9100	-1.9990	-4.9929	3.2900	0.0082
0.9200	-1.9989	-5.0258	3.2901	0.0095
0.9300	-1.9988	-5.0587	3.2902	0.0109
0.9400	-1.9986	-5.0916	3.2904	0.0125
0.9500	-1.9985	-5.1245	3.2905	0.0141
0.9600	-1.9984	-5.1574	3.2907	0.0159
0.9700	-1.9982	-5.1903	3.2908	0.0178
0.9800	-1.9980	-5.2232	3.2910	0.0197
0.9900	-1.9978	-5.2561	3.2912	0.0217
1.0000	-1.9976	-5.2890	3.2915	0.0239
1.0100	-1.9973	-5.3220	3.2917	0.0262
1.0200	-1.9970	-5.3549	3.2920	0.0285
1.0300	-1.9967	-5.3878	3.2923	0.0309
1.0400	-1.9964	-5.4207	3.2926	0.0331
