T	Ut	Ft	St	Ct
0.01000000	-1.99218750	-22.46008299	2046.78954888	0.00000000
0.02000000	-1.99218750	-42.92797848	2046.78954888	0.00000000
0.03000000	-1.99218750	-63.39587397	2046.78954888	0.00000000
0.04000000	-1.99218750	-83.86376946	2046.78954888	0.00000000
0.05000000	-1.99218750	-104.33166494	2046.78954888	0.00000000
0.06000000	-1.99218750	-124.79956043	2046.78954888	0.00000000
0.07000000	-1.99218750	-145.26745592	2046.78954888	0.00000000
0.08000000	-1.99218750	-165.73535141	2046.78954888	0.00000000
0.09000000	-1.99218750	-186.20324690	2046.78954888	0.00000000
0.10000000	-1.99218750	-206.67114239	2046.78954888	0.00000000
0.11000000	-1.99218750	-227.13903788	2046.78954888	0.00000000
0.12000000	-1.99218750	-247.60693337	2046.78954888	0.00000000
0.13000000	-1.99218750	-268.07482885	2046.78954888	0.00000000
0.14000000	-1.99218750	-288.54272434	2046.78954888	0.00000000
0.15000000	-1.99218750	-309.01061983	2046.78954888	0.00000000
0.16000000	-1.99218750	-329.47851532	2046.78954888	0.00000000
0.17000000	-1.99218750	-349.94641081	2046.78954888	0.00000000
0.18000000	-1.99218750	-370.41430630	2046.78954888	0.00000000
0.19000000	-1.99218750	-390.88220179	2046.78954888	0.00000000
0.20000000	-1.99218750	-411.35009728	2046.78954888	0.00000000
0.21000000	-1.99218750	-431.81799276	2046.78954888	0.00000000
0.22000000	-1.99218750	-452.28588825	2046.78954888	0.00000001
0.23000000	-1.99218750	-472.75378374	2046.78954888	0.00000002
0.24000000	-1.99218750	-493.22167923	2046.78954888	0.00000003
0.25000000	-1.99218750	-513.68957472	2046.78954888	0.00000006
0.26000000	-1.99218750	-534.15747021	2046.78954889	0.00000010
0.27000000	-1.99218750	-554.62536570	2046.78954889	0.00000017
0.28000000	-1.99218749	-575.09326119	2046.78954890	0.00000027
0.29000000	-1.99218749	-595.56115668	2046.78954891	0.00000041
0.30000000	-1.99218749	-616.02905216	2046.78954893	0.00000060
0.31000000	-1.99218748	-636.49694765	2046.78954895	0.00000087
0.32000000	-1.99218747	-656.96484314	2046.78954898	0.00000122
0.33000000	-1.99218745	-677.43273863	2046.78954903	0.00000168
0.34000000	-1.99218743	-697.90063412	2046.78954909	0.00000227
0.35000000	-1.99218741	-718.36852962	2046.78954916	0.00000301
0.36000000	-1.99218737	-738.83642511	2046.78954926	0.00000392
0.37000000	-1.99218733	-759.30432060	2046.78954938	0.00000503
0.38000000	-1.99218727	-779.77221610	2046.78954953	0.00000638
0.39000000	-1.99218720	-800.24011159	2046.78954972	0.00000800
0.40000000	-1.99218711	-820.70800709	2046.78954995	0.00000993
0.41000000	-1.99218700	-841.17590259	2046.78955022	0.00001220
0.42000000	-1.99218687	-861.64379809	2046.78955054	0.00001487
0.43000000	-1.99218670	-882.11169360	2046.78955093	0.00001800
0.44000000	-1.99218650	-902.57958911	2046.78955138	0.00002165
0.45000000	-1.99218627	-923.04748463	2046.78955192	0.00002590
0.46000000	-1.99218598	-943.51538015	2046.78955254	0.00003084
0.47000000	-1.99218565	-963.98327568	2046.78955326	0.00003657
0.48000000	-1.99218525	-984.45117122	2046.78955410	0.00004321
0.49000000	-1.99218478	-1004.91906676	2046.78955507	0.00005089
0.50000000	-1.99218423	-1025.38696232	2046.78955618	0.00005978
0.51000000	-1.99218358	-1045.85485789	2046.78955747	0.00007006
0.52000000	-1.99218282	-1066.32275347	2046.78955894	0.00008192
0.53000000	-1.99218194	-1086.79064907	2046.78956063	0.00009561
0.54000000	-1.99218090	-1107.25854468	2046.78956256	0.00011137
0.55000000	-1.99217970	-1127.72644032	2046.78956476	0.00012948
0.56000000	-1.99217830	-1148.19433598	2046.78956728	0.00015026
0.57000000	-1.99217668	-1168.66223167	2046.78957014	0.00017406
0.58000000	-1.99217481	-1189.13012738	2046.78957340	0.00020124
0.59000000	-1.99217265	-1209.59802314	2046.78957710	0.00023221
0.60000000	-1.99217015	-1230.06591893	2046.78958129	0.00026741
0.61000000	-1.99216728	-1250.53381476	2046.78958603	0.00030731
0.62000000	-1.99216399	-1271.00171065	2046.78959139	0.00035239
0.63000000	-1.99216022	-1291.46960659	2046.78959742	0.00040320
0.64000000	-1.99215590	-1311.93750260	2046.78960421	0.00046028
0.65000000	-1.99215099	-1332.40539868	2046.78961183	0.00052423
0.66000000	-1.99214539	-1352.87329484	2046.78962037	0.00059566
0.67000000	-1.99213905	-1373.34119109	2046.78962992	0.00067522
0.68000000	-1.99213186	-1393.80908744	2046.78964056	0.00076358
0.69000000	-1.99212374	-1414.27698391	2046.78965241	0.00086143
0.70000000	-1.99211460	-1434.74488049	2046.78966557	0.00096950
0.71000000	-1.99210432	-1455.21277722	2046.78968015	0.00108853
0.72000000	-1.99209279	-1475.68067410	2046.78969627	0.00121929
0.73000000	-1.99207989	-1496.14857115	2046.78971406	0.00136256
0.74000000	-1.99206549	-1516.61646839	2046.78973364	0.00151916
0.75000000	-1.99204946	-1537.08436583	2046.78975516	0.00168991
0.76000000	-1.99203164	-1557.55226350	2046.78977876	0.00187566
0.77000000	-1.99201189	-1578.02016142	2046.78980457	0.00207726
0.78000000	-1.99199004	-1598.48805960	2046.78983276	0.00229558
0.79000000	-1.99196592	-1618.95595808	2046.78986349	0.00253151
0.80000000	-1.99193935	-1639.42385688	2046.78989691	0.00278594
0.81000000	-1.99191014	-1659.89175603	2046.78993319	0.00305975
0.82000000	-1.99187809	-1680.35965555	2046.78997252	0.00335383
0.83000000	-1.99184299	-1700.82755549	2046.79001505	0.00366907
0.84000000	-1.99180463	-1721.29545586	2046.79006099	0.00400632
0.85000000	-1.99176279	-1741.76335672	2046.79011050	0.00436642
0.86000000	-1.99171723	-1762.23125809	2046.79016379	0.00475018
0.87000000	-1.99166771	-1782.69916001	2046.79022104	0.00515834
0.88000000	-1.99161398	-1803.16706252	2046.79028244	0.00559160
0.89000000	-1.99155579	-1823.63496567	2046.79034818	0.00605055
0.90000000	-1.99149288	-1844.10286950	2046.79041847	0.00653571
0.91000000	-1.99142498	-1864.57077406	2046.79049349	0.00704746
0.92000000	-1.99135184	-1885.03867939	2046.79057342	0.00758603
0.93000000	-1.99127317	-1905.50658554	2046.79065846	0.00815149
0.94000000	-1.99118872	-1925.97449257	2046.79074878	0.00874371
0.95000000	-1.99109821	-1946.44240054	2046.79084455	0.00936231
0.96000000	-1.99100139	-1966.91030948	2046.79094593	0.01000668
0.97000000	-1.99089800	-1987.37821947	2046.79105307	0.01067592
0.98000000	-1.99078779	-2007.84613056	2046.79116609	0.01136879
0.99000000	-1.99067055	-2028.31404282	2046.79128512	0.01208375
1.00000000	-1.99054605	-2048.78195629	2046.79141024	0.01281886
1.01000000	-1.99041411	-2069.24987104	2046.79154152	0.01357182
1.02000000	-1.99027456	-2089.71778714	2046.79167900	0.01433995
1.03000000	-1.99012727	-2110.18570464	2046.79182269	0.01512017
1.04000000	-1.98997213	-2130.65362361	2046.79197258	0.01590901
1.05000000	-1.98980907	-2151.12154411	2046.79212861	0.01670264
1.06000000	-1.98963808	-2171.58946621	2046.79229069	0.01749688
1.07000000	-1.98945915	-2192.05738995	2046.79245869	0.01828725
1.08000000	-1.98927236	-2212.52531540	2046.79263244	0.01906901
1.09000000	-1.98907781	-2232.99324261	2046.79281174	0.01983723
1.10000000	-1.98887568	-2253.46117165	2046.79299634	0.02058685
1.11000000	-1.98866616	-2273.92910256	2046.79318595	0.02131280
1.12000000	-1.98844952	-2294.39703539	2046.79338024	0.02201000
1.13000000	-1.98822607	-2314.86497018	2046.79357886	0.02267356
1.14000000	-1.98799617	-2335.33290698	2046.79378141	0.02329878
