T	Ut	Ft	St	Ct
0.0100	-1.9980	-2.4946	49.6581	0.0000
0.0200	-1.9980	-2.9912	49.6581	0.0000
0.0300	-1.9980	-3.4878	49.6581	0.0000
0.0400	-1.9980	-3.9844	49.6581	0.0000
0.0500	-1.9980	-4.4810	49.6581	0.0000
0.0600	-1.9980	-4.9775	49.6581	0.0000
0.0700	-1.9980	-5.4741	49.6581	0.0000
0.0800	-1.9980	-5.9707	49.6581	0.0000
0.0900	-1.9980	-6.4673	49.6581	0.0000
0.1000	-1.9980	-6.9639	49.6581	0.0000
0.1100	-1.9980	-7.4604	49.6581	-0.0000
0.1200	-1.9980	-7.9570	49.6581	0.0000
0.1300	-1.9980	-8.4536	49.6581	0.0000
0.1400	-1.9980	-8.9502	49.6581	0.0000
0.1500	-1.9980	-9.4468	49.6581	0.0000
0.1600	-1.9980	-9.9433	49.6581	-0.0000
0.1700	-1.9980	-10.4399	49.6581	0.0000
0.1800	-1.9980	-10.9365	49.6581	0.0000
0.1900	-1.9980	-11.4331	49.6581	0.0000
0.2000	-1.9980	-11.9297	49.6581	0.0000
0.2100	-1.9980	-12.4263	49.6581	0.0000
0.2200	-1.9980	-12.9228	49.6581	0.0000
0.2300	-1.9980	-13.4194	49.6581	0.0000
0.2400	-1.9980	-13.9160	49.6581	0.0000
0.2500	-1.9980	-14.4126	49.6581	0.0000
0.2600	-1.9980	-14.9092	49.6581	0.0000
0.2700	-1.9980	-15.4057	49.6581	0.0000
0.2800	-1.9980	-15.9023	49.6581	0.0000
0.2900	-1.9980	-16.3989	49.6581	0.0000
0.3000	-1.9980	-16.8955	49.6581	0.0000
0.3100	-1.9980	-17.3921	49.6581	0.0000
0.3200	-1.9980	-17.8886	49.6581	0.0000
0.3300	-1.9980	-18.3852	49.6581	0.0000
0.3400	-1.9980	-18.8818	49.6581	0.0000
0.3500	-1.9980	-19.3784	49.6581	0.0000
0.3600	-1.9980	-19.8750	49.6581	0.0000
0.3700	-1.9980	-20.3716	49.6581	0.0000
0.3800	-1.9980	-20.8681	49.6581	0.0000
0.3900	-1.9980	-21.3647	49.6581	0.0000
0.4000	-1.9980	-21.8613	49.6581	0.0000
0.4100	-1.9980	-22.3579	49.6581	0.0000
0.4200	-1.9980	-22.8545	49.6581	0.0000
0.4300	-1.9980	-23.3510	49.6581	0.0000
0.4400	-1.9980	-23.8476	49.6581	0.0000
0.4500	-1.9980	-24.3442	49.6581	0.0000
0.4600	-1.9980	-24.8408	49.6581	0.0000
0.4700	-1.9980	-25.3374	49.6581	0.0000
0.4800	-1.9980	-25.8339	49.6581	0.0000
0.4900	-1.9980	-26.3305	49.6581	0.0000
0.5000	-1.9980	-26.8271	49.6581	0.0000
0.5100	-1.9980	-27.3237	49.6581	0.0000
0.5200	-1.9980	-27.8203	49.6581	0.0000
0.5300	-1.9980	-28.3169	49.6581	0.0000
0.5400	-1.9980	-28.8134	49.6581	0.0001
0.5500	-1.9980	-29.3100	49.6581	0.0001
0.5600	-1.9980	-29.8066	49.6581	0.0001
0.5700	-1.9980	-30.3032	49.6581	0.0001
0.5800	-1.9980	-30.7998	49.6581	0.0001
0.5900	-1.9980	-31.2963	49.6581	0.0001
0.6000	-1.9980	-31.7929	49.6581	0.0002
0.6100	-1.9980	-32.2895	49.6581	0.0002
0.6200	-1.9980	-32.7861	49.6581	0.0002
0.6300	-1.9980	-33.2827	49.6582	0.0003
0.6400	-1.9980	-33.7792	49.6582	0.0003
0.6500	-1.9980	-34.2758	49.6582	0.0004
0.6600	-1.9980	-34.7724	49.6582	0.0004
0.6700	-1.9980	-35.2690	49.6582	0.0005
0.6800	-1.9980	-35.7656	49.6582	0.0006
0.6900	-1.9980	-36.2622	49.6582	0.0006
0.7000	-1.9980	-36.7587	49.6582	0.0007
0.7100	-1.9980	-37.2553	49.6582	0.0008
0.7200	-1.9980	-37.7519	49.6582	0.0009
0.7300	-1.9980	-38.2485	49.6582	0.0011
0.7400	-1.9980	-38.7451	49.6583	0.0012
0.7500	-1.9979	-39.2417	49.6583	0.0014
0.7600	-1.9979	-39.7382	49.6583	0.0015
0.7700	-1.9979	-40.2348	49.6583	0.0017
0.7800	-1.9979	-40.7314	49.6583	0.0019
0.7900	-1.9979	-41.2280	49.6584	0.0021
0.8000	-1.9979	-41.7246	49.6584	0.0024
0.8100	-1.9978	-42.2212	49.6584	0.0026
0.8200	-1.9978	-42.7177	49.6585	0.0029
0.8300	-1.9978	-43.2143	49.6585	0.0032
0.8400	-1.9977	-43.7109	49.6585	0.0036
0.8500	-1.9977	-44.2075	49.6586	0.0039
0.8600	-1.9977	-44.7041	49.6586	0.0043
0.8700	-1.9976	-45.2007	49.6587	0.0048
0.8800	-1.9976	-45.6972	49.6587	0.0052
0.8900	-1.9975	-46.1938	49.6588	0.0057
0.9000	-1.9975	-46.6904	49.6589	0.0063
0.9100	-1.9974	-47.1870	49.6589	0.0069
0.9200	-1.9973	-47.6836	49.6590	0.0076
0.9300	-1.9972	-48.1802	49.6591	0.0083
0.9400	-1.9971	-48.6768	49.6592	0.0091
0.9500	-1.9971	-49.1734	49.6593	0.0099
0.9600	-1.9969	-49.6700	49.6594	0.0109
0.9700	-1.9968	-50.1666	49.6595	0.0119
0.9800	-1.9967	-50.6632	49.6596	0.0129
0.9900	-1.9966	-51.1598	49.6598	0.0141
1.0000	-1.9964	-51.6564	49.6599	0.0154
1.0100	-1.9963	-52.1530	49.6601	0.0168
1.0200	-1.9961	-52.6496	49.6603	0.0182
1.0300	-1.9959	-53.1462	49.6604	0.0198
1.0400	-1.9957	-53.6428	49.6606	0.0216
