T	Ut	Ft	St	Ct
0.01000000	-1.99804688	-7.07061116	507.25642810	0.00000000
0.02000000	-1.99804688	-12.14317544	507.25642810	0.00000000
0.03000000	-1.99804688	-17.21573972	507.25642810	0.00000000
0.04000000	-1.99804688	-22.28830400	507.25642810	0.00000000
0.05000000	-1.99804688	-27.36086828	507.25642810	0.00000000
0.06000000	-1.99804688	-32.43343256	507.25642810	0.00000000
0.07000000	-1.99804688	-37.50599684	507.25642810	0.00000000
0.08000000	-1.99804688	-42.57856112	507.25642810	0.00000000
0.09000000	-1.99804688	-47.65112540	507.25642810	0.00000000
0.10000000	-1.99804688	-52.72368968	507.25642810	0.00000000
0.11000000	-1.99804688	-57.79625397	507.25642810	0.00000000
0.12000000	-1.99804688	-62.86881825	507.25642810	-0.00000000
0.13000000	-1.99804688	-67.94138253	507.25642810	-0.00000000
0.14000000	-1.99804687	-73.01394681	507.25642810	-0.00000000
0.15000000	-1.99804687	-78.08651109	507.25642810	0.00000000
0.16000000	-1.99804687	-83.15907537	507.25642810	0.00000000
0.17000000	-1.99804687	-88.23163965	507.25642810	0.00000000
0.18000000	-1.99804687	-93.30420393	507.25642810	0.00000000
0.19000000	-1.99804687	-98.37676821	507.25642810	0.00000000
0.20000000	-1.99804687	-103.44933249	507.25642810	0.00000000
0.21000000	-1.99804687	-108.52189678	507.25642810	0.00000000
0.22000000	-1.99804687	-113.59446106	507.25642810	0.00000000
0.23000000	-1.99804687	-118.66702534	507.25642810	0.00000000
0.24000000	-1.99804687	-123.73958962	507.25642810	0.00000001
0.25000000	-1.99804687	-128.81215390	507.25642810	0.00000001
0.26000000	-1.99804687	-133.88471818	507.25642810	0.00000002
0.27000000	-1.99804687	-138.95728246	507.25642810	0.00000003
0.28000000	-1.99804687	-144.02984674	507.25642810	0.00000005
0.29000000	-1.99804687	-149.10241102	507.25642810	0.00000008
0.30000000	-1.99804687	-154.17497530	507.25642811	0.00000012
0.31000000	-1.99804687	-159.24753959	507.25642811	0.00000017
0.32000000	-1.99804687	-164.32010387	507.25642812	0.00000025
