T	Ut	Ft	St	Ct
0.01000000	-1.99218750	-3.77487378	178.26862821	0.00000000
0.02000000	-1.99218750	-5.55756006	178.26862821	0.00000000
0.03000000	-1.99218750	-7.34024635	178.26862821	0.00000000
0.04000000	-1.99218750	-9.12293263	178.26862821	0.00000000
0.05000000	-1.99218750	-10.90561891	178.26862821	0.00000000
0.06000000	-1.99218750	-12.68830519	178.26862821	0.00000000
0.07000000	-1.99218750	-14.47099147	178.26862821	0.00000000
0.08000000	-1.99218750	-16.25367776	178.26862821	0.00000000
0.09000000	-1.99218750	-18.03636404	178.26862821	0.00000000
0.10000000	-1.99218750	-19.81905032	178.26862821	0.00000000
0.11000000	-1.99218750	-21.60173660	178.26862821	0.00000000
0.12000000	-1.99218750	-23.38442288	178.26862821	0.00000000
0.13000000	-1.99218750	-25.16710917	178.26862821	-0.00000000
0.14000000	-1.99218750	-26.94979545	178.26862821	0.00000000
0.15000000	-1.99218750	-28.73248173	178.26862821	-0.00000000
0.16000000	-1.99218750	-30.51516801	178.26862821	0.00000000
0.17000000	-1.99218750	-32.29785430	178.26862821	0.00000000
0.18000000	-1.99218750	-34.08054058	178.26862821	0.00000000
0.19000000	-1.99218750	-35.86322686	178.26862821	0.00000000
0.20000000	-1.99218750	-37.64591314	178.26862821	0.00000000
0.21000000	-1.99218750	-39.42859942	178.26862821	0.00000000
0.22000000	-1.99218750	-41.21128571	178.26862821	0.00000001
0.23000000	-1.99218750	-42.99397199	178.26862821	0.00000001
0.24000000	-1.99218750	-44.77665827	178.26862821	0.00000003
0.25000000	-1.99218750	-46.55934455	178.26862821	0.00000005
0.26000000	-1.99218750	-48.34203083	178.26862821	0.00000008
0.27000000	-1.99218750	-50.12471712	178.26862822	0.00000013
0.28000000	-1.99218750	-51.90740340	178.26862822	0.00000021
0.29000000	-1.99218749	-53.69008968	178.26862823	0.00000032
0.30000000	-1.99218749	-55.47277596	178.26862824	0.00000047
0.31000000	-1.99218748	-57.25546225	178.26862826	0.00000068
0.32000000	-1.99218748	-59.03814853	178.26862829	0.00000095
0.33000000	-1.99218746	-60.82083481	178.26862832	0.00000131
0.34000000	-1.99218745	-62.60352109	178.26862837	0.00000177
0.35000000	-1.99218743	-64.38620738	178.26862843	0.00000235
0.36000000	-1.99218740	-66.16889366	178.26862850	0.00000307
0.37000000	-1.99218737	-67.95157995	178.26862860	0.00000395
0.38000000	-1.99218732	-69.73426624	178.26862872	0.00000502
0.39000000	-1.99218727	-71.51695252	178.26862887	0.00000631
0.40000000	-1.99218720	-73.29963881	178.26862904	0.00000785
0.41000000	-1.99218711	-75.08232510	178.26862926	0.00000968
0.42000000	-1.99218700	-76.86501140	178.26862952	0.00001186
0.43000000	-1.99218687	-78.64769769	178.26862983	0.00001443
0.44000000	-1.99218671	-80.43038399	178.26863019	0.00001746
0.45000000	-1.99218652	-82.21307030	178.26863062	0.00002103
0.46000000	-1.99218629	-83.99575661	178.26863113	0.00002523
0.47000000	-1.99218601	-85.77844292	178.26863172	0.00003016
0.48000000	-1.99218568	-87.56112924	178.26863242	0.00003594
0.49000000	-1.99218529	-89.34381557	178.26863323	0.00004273
0.50000000	-1.99218482	-91.12650191	178.26863417	0.00005068
0.51000000	-1.99218427	-92.90918825	178.26863526	0.00005999
