T	Ut	Ft	St	Ct
0.01000000	-1.99804688	-5.75268731	375.46404395	0.00000000
0.02000000	-1.99804688	-9.50732775	375.46404395	0.00000000
0.03000000	-1.99804688	-13.26196819	375.46404395	0.00000000
0.04000000	-1.99804688	-17.01660863	375.46404395	0.00000000
0.05000000	-1.99804688	-20.77124907	375.46404395	0.00000000
0.06000000	-1.99804688	-24.52588951	375.46404395	0.00000000
0.07000000	-1.99804688	-28.28052995	375.46404395	0.00000000
0.08000000	-1.99804688	-32.03517039	375.46404395	0.00000000
0.09000000	-1.99804688	-35.78981083	375.46404395	0.00000000
0.10000000	-1.99804688	-39.54445127	375.46404395	0.00000000
0.11000000	-1.99804687	-43.29909171	375.46404395	0.00000000
0.12000000	-1.99804687	-47.05373215	375.46404395	0.00000000
0.13000000	-1.99804688	-50.80837259	375.46404395	-0.00000000
0.14000000	-1.99804687	-54.56301303	375.46404395	0.00000000
0.15000000	-1.99804687	-58.31765347	375.46404395	0.00000000
0.16000000	-1.99804687	-62.07229391	375.46404395	0.00000000
0.17000000	-1.99804687	-65.82693435	375.46404395	-0.00000000
0.18000000	-1.99804687	-69.58157479	375.46404395	-0.00000000
0.19000000	-1.99804687	-73.33621523	375.46404395	0.00000000
0.20000000	-1.99804687	-77.09085567	375.46404395	0.00000000
0.21000000	-1.99804687	-80.84549611	375.46404395	0.00000000
0.22000000	-1.99804687	-84.60013655	375.46404395	0.00000000
0.23000000	-1.99804687	-88.35477698	375.46404396	0.00000000
0.24000000	-1.99804687	-92.10941742	375.46404396	0.00000001
0.25000000	-1.99804687	-95.86405786	375.46404396	0.00000001
0.26000000	-1.99804687	-99.61869830	375.46404396	0.00000003
0.27000000	-1.99804687	-103.37333874	375.46404396	0.00000004
0.28000000	-1.99804687	-107.12797918	375.46404396	0.00000007
0.29000000	-1.99804687	-110.88261962	375.46404396	0.00000010
0.30000000	-1.99804687	-114.63726006	375.46404397	0.00000015
0.31000000	-1.99804687	-118.39190050	375.46404397	0.00000021
0.32000000	-1.99804687	-122.14654094	375.46404398	0.00000030
0.33000000	-1.99804686	-125.90118138	375.46404399	0.00000042
0.34000000	-1.99804686	-129.65582182	375.46404401	0.00000057
0.35000000	-1.99804685	-133.41046226	375.46404403	0.00000076
0.36000000	-1.99804684	-137.16510270	375.46404405	0.00000100
0.37000000	-1.99804683	-140.91974314	375.46404408	0.00000130
0.38000000	-1.99804682	-144.67438358	375.46404412	0.00000167
0.39000000	-1.99804680	-148.42902402	375.46404417	0.00000213
0.40000000	-1.99804677	-152.18366447	375.46404423	0.00000270
0.41000000	-1.99804674	-155.93830491	375.46404431	0.00000341
0.42000000	-1.99804671	-159.69294535	375.46404440	0.00000428
0.43000000	-1.99804666	-163.44758580	375.46404451	0.00000536
0.44000000	-1.99804660	-167.20222624	375.46404465	0.00000669
0.45000000	-1.99804652	-170.95686669	375.46404482	0.00000832
0.46000000	-1.99804643	-174.71150714	375.46404502	0.00001034
0.47000000	-1.99804631	-178.46614759	375.46404527	0.00001283
0.48000000	-1.99804617	-182.22078805	375.46404557	0.00001587
0.49000000	-1.99804599	-185.97542850	375.46404593	0.00001960
0.50000000	-1.99804578	-189.73006896	375.46404637	0.00002415
0.51000000	-1.99804551	-193.48470943	375.46404691	0.00002967
