i	E(i)	g[i]
6	-500.000000	0.706621
8	-496.000000	4.896772
10	-492.000000	6.281050
12	-488.000000	9.456896
14	-484.000000	11.173616
16	-480.000000	11.249121
18	-476.000000	13.014015
20	-472.000000	15.554808
22	-468.000000	17.462376
24	-464.000000	19.750774
26	-460.000000	21.721437
28	-456.000000	23.845691
30	-452.000000	25.815793
32	-448.000000	27.843184
34	-444.000000	29.793762
36	-440.000000	31.770201
38	-436.000000	33.696879
40	-432.000000	35.615807
42	-428.000000	37.517138
44	-424.000000	39.413451
46	-420.000000	41.280982
48	-416.000000	43.139206
50	-412.000000	44.989031
52	-408.000000	46.827512
54	-404.000000	48.651934
56	-400.000000	50.466489
58	-396.000000	52.265405
60	-392.000000	54.063309
62	-388.000000	55.844720
64	-384.000000	57.625634
66	-380.000000	59.395066
68	-376.000000	61.148732
70	-372.000000	62.909603
72	-368.000000	64.655788
74	-364.000000	66.395643
76	-360.000000	68.123518
78	-356.000000	69.852153
80	-352.000000	71.570596
82	-348.000000	73.295591
84	-344.000000	75.012668
86	-340.000000	76.720531
88	-336.000000	78.425663
90	-332.000000	80.127028
92	-328.000000	81.821823
94	-324.000000	83.517711
96	-320.000000	85.208768
98	-316.000000	86.888295
100	-312.000000	88.559137
102	-308.000000	90.225382
104	-304.000000	91.891536
106	-300.000000	93.542107
108	-296.000000	95.183008
110	-292.000000	96.818639
112	-288.000000	98.440326
114	-284.000000	100.059514
116	-280.000000	101.666388
118	-276.000000	103.262989
120	-272.000000	104.847236
122	-268.000000	106.426663
124	-264.000000	107.989349
126	-260.000000	109.545474
128	-256.000000	111.087014
130	-252.000000	112.615968
132	-248.000000	114.134647
134	-244.000000	115.636899
136	-240.000000	117.121238
138	-236.000000	118.592970
140	-232.000000	120.052844
142	-228.000000	121.493299
144	-224.000000	122.923965
146	-220.000000	124.338359
148	-216.000000	125.735078
150	-212.000000	127.116747
152	-208.000000	128.482080
154	-204.000000	129.822181
156	-200.000000	131.150695
158	-196.000000	132.463366
160	-192.000000	133.754321
162	-188.000000	135.032189
164	-184.000000	136.290715
166	-180.000000	137.535904
168	-176.000000	138.752715
170	-172.000000	139.950808
172	-168.000000	141.128146
174	-164.000000	142.283592
176	-160.000000	143.420109
178	-156.000000	144.541496
180	-152.000000	145.636169
182	-148.000000	146.707872
184	-144.000000	147.760738
186	-140.000000	148.797433
188	-136.000000	149.807184
190	-132.000000	150.797340
192	-128.000000	151.759711
194	-124.000000	152.702602
196	-120.000000	153.619923
198	-116.000000	154.513705
200	-112.000000	155.385921
202	-108.000000	156.231758
204	-104.000000	157.050983
206	-100.000000	157.846460
208	-96.000000	158.617434
210	-92.000000	159.362114
212	-88.000000	160.080520
214	-84.000000	160.773372
216	-80.000000	161.442152
218	-76.000000	162.084413
220	-72.000000	162.698232
222	-68.000000	163.288982
224	-64.000000	163.850150
226	-60.000000	164.385773
228	-56.000000	164.886908
230	-52.000000	165.363762
232	-48.000000	165.815017
234	-44.000000	166.240049
236	-40.000000	166.634131
238	-36.000000	167.001053
240	-32.000000	167.338038
242	-28.000000	167.646695
244	-24.000000	167.927032
246	-20.000000	168.183357
248	-16.000000	168.405686
250	-12.000000	168.595627
252	-8.000000	168.762090
254	-4.000000	168.893879
256	0.000000	169.001570
258	4.000000	169.079764
260	8.000000	169.128248
262	12.000000	169.144782
264	16.000000	169.134527
266	20.000000	169.093767
268	24.000000	169.024117
270	28.000000	168.923797
272	32.000000	168.796338
274	36.000000	168.639591
276	40.000000	168.453472
278	44.000000	168.238486
280	48.000000	167.992881
282	52.000000	167.721145
284	56.000000	167.416317
286	60.000000	167.083350
288	64.000000	166.725418
290	68.000000	166.337967
292	72.000000	165.921206
294	76.000000	165.477263
296	80.000000	165.004004
298	84.000000	164.501847
300	88.000000	163.975286
302	92.000000	163.419471
304	96.000000	162.834130
306	100.000000	162.225793
308	104.000000	161.590878
310	108.000000	160.929096
312	112.000000	160.237951
314	116.000000	159.523698
316	120.000000	158.778437
318	124.000000	158.008389
320	128.000000	157.217915
322	132.000000	156.397019
324	136.000000	155.552616
326	140.000000	154.687607
328	144.000000	153.797755
330	148.000000	152.885845
332	152.000000	151.941465
334	156.000000	150.975692
336	160.000000	149.990887
338	164.000000	148.981009
340	168.000000	147.956375
342	172.000000	146.905357
344	176.000000	145.833640
346	180.000000	144.734606
348	184.000000	143.624835
350	188.000000	142.488525
352	192.000000	141.335629
354	196.000000	140.162783
356	200.000000	138.966008
358	204.000000	137.749297
360	208.000000	136.515359
362	212.000000	135.260258
364	216.000000	133.982322
366	220.000000	132.692616
368	224.000000	131.382611
370	228.000000	130.058882
372	232.000000	128.713745
374	236.000000	127.352082
376	240.000000	125.972711
378	244.000000	124.581450
380	248.000000	123.168890
382	252.000000	121.741695
384	256.000000	120.296065
386	260.000000	118.839705
388	264.000000	117.369000
390	268.000000	115.879064
392	272.000000	114.379984
394	276.000000	112.865817
396	280.000000	111.337296
398	284.000000	109.799015
400	288.000000	108.249555
402	292.000000	106.684572
404	296.000000	105.108292
406	300.000000	103.517290
408	304.000000	101.917979
410	308.000000	100.305329
412	312.000000	98.683190
414	316.000000	97.053203
416	320.000000	95.419889
418	324.000000	93.773149
420	328.000000	92.120415
422	332.000000	90.458059
424	336.000000	88.792783
426	340.000000	87.116679
428	344.000000	85.435699
430	348.000000	83.749529
432	352.000000	82.065071
434	356.000000	80.365322
436	360.000000	78.664919
438	364.000000	76.962264
440	368.000000	75.253629
442	372.000000	73.536446
444	376.000000	71.819777
446	380.000000	70.092819
448	384.000000	68.365182
450	388.000000	66.635400
452	392.000000	64.894501
454	396.000000	63.146684
456	400.000000	61.397188
458	404.000000	59.642178
460	408.000000	57.876153
462	412.000000	56.098198
464	416.000000	54.317504
466	420.000000	52.519626
468	424.000000	50.721136
470	428.000000	48.907487
472	432.000000	47.081686
474	436.000000	45.260359
476	440.000000	43.415676
478	444.000000	41.565991
480	448.000000	39.685717
482	452.000000	37.800656
484	456.000000	35.900001
486	460.000000	33.980877
488	464.000000	32.054300
490	468.000000	30.080378
492	472.000000	28.122923
494	476.000000	26.088003
496	480.000000	24.117926
498	484.000000	21.984492
500	488.000000	22.522755
502	492.000000	20.361572
504	496.000000	18.375292
506	500.000000	16.044727
508	504.000000	14.119661
510	508.000000	11.461269
512	512.000000	0.000000
