i	E(i)	g[i]
390	268.000000	1495.500000	10510
392	272.000000	1489.000000	10504
394	276.000000	1490.000000	10505
396	280.000000	1471.500000	10486
398	284.000000	1460.500000	10475
400	288.000000	1461.500000	10476
402	292.000000	1451.500000	10466
404	296.000000	1446.500000	10461
406	300.000000	1441.000000	10456
408	304.000000	1424.500000	10439
410	308.000000	1415.500000	10430
412	312.000000	1415.500000	10430
414	316.000000	1413.000000	10428
416	320.000000	1397.000000	10412
418	324.000000	1368.000000	10383
420	328.000000	1360.500000	10375
422	332.000000	1350.000000	10365
424	336.000000	1346.500000	10361
426	340.000000	1344.500000	10359
428	344.000000	1342.000000	10357
430	348.000000	1327.500000	10342
432	352.000000	1297.500000	10312
434	356.000000	1278.000000	10293
436	360.000000	1276.500000	10291
438	364.000000	1254.500000	10269
440	368.000000	1247.500000	10262
442	372.000000	1234.000000	10249
444	376.000000	1225.500000	10240
446	380.000000	1210.000000	10225
448	384.000000	1384.000000	10399
450	388.000000	1382.000000	10397
452	392.000000	1365.000000	10380
454	396.000000	1364.000000	10379
456	400.000000	1348.000000	10363
458	404.000000	1329.000000	10344
460	408.000000	1328.000000	10343
462	412.000000	1326.000000	10341
464	416.000000	1282.000000	10297
466	420.000000	1281.000000	10296
468	424.000000	1281.000000	10296
470	428.000000	1276.000000	10291
472	432.000000	1262.000000	10277
474	436.000000	1224.000000	10239
476	440.000000	1210.000000	10225
478	444.000000	1200.000000	10215
480	448.000000	1194.000000	10209
482	452.000000	1197.000000	10212
484	456.000000	1181.000000	10196
486	460.000000	1160.000000	10175
488	464.000000	1133.000000	10148
490	468.000000	1128.000000	10143
492	472.000000	1116.000000	10131
494	476.000000	1108.000000	10123
496	480.000000	1080.000000	10095
498	484.000000	1078.000000	10093
500	488.000000	1055.000000	10070
502	492.000000	1053.000000	10068
504	496.000000	1036.000000	10051
506	500.000000	1006.000000	10021
508	504.000000	1005.000000	10020
510	508.000000	993.000000	10008
512	512.000000	0.000000	-10613592
