i	E(i)	g[i]
6	-116.000000	0.730423
8	-112.000000	3.609545
10	-108.000000	5.715748
12	-104.000000	7.713097
14	-100.000000	9.417291
16	-96.000000	11.166582
18	-92.000000	12.849221
20	-88.000000	14.517289
22	-84.000000	16.178814
24	-80.000000	17.815288
26	-76.000000	19.450721
28	-72.000000	21.068952
30	-68.000000	22.668695
32	-64.000000	24.238554
34	-60.000000	25.770807
36	-56.000000	27.236140
38	-52.000000	28.666412
40	-48.000000	30.024130
42	-44.000000	31.310572
44	-40.000000	32.510878
46	-36.000000	33.625044
48	-32.000000	34.661976
50	-28.000000	35.607423
52	-24.000000	36.453804
54	-20.000000	37.215179
56	-16.000000	37.864695
58	-12.000000	38.413589
60	-8.000000	38.851130
62	-4.000000	39.184710
64	0.000000	39.418890
66	4.000000	39.534234
68	8.000000	39.551380
70	12.000000	39.453688
72	16.000000	39.237737
74	20.000000	38.928184
76	24.000000	38.497257
78	28.000000	37.973865
80	32.000000	37.329188
82	36.000000	36.578303
84	40.000000	35.742887
86	44.000000	34.805334
88	48.000000	33.774160
90	52.000000	32.659999
92	56.000000	31.467524
94	60.000000	30.176865
96	64.000000	28.832057
98	68.000000	27.419464
100	72.000000	25.936817
102	76.000000	24.407773
104	80.000000	22.842224
106	84.000000	21.264032
108	88.000000	19.631759
110	92.000000	18.003926
112	96.000000	16.361517
114	100.000000	14.715495
116	104.000000	13.041203
118	108.000000	11.366809
120	112.000000	9.604359
122	116.000000	7.322059
124	120.000000	5.203176
126	124.000000	3.856357
128	128.000000	0.000000
