i	E(i)	g[i]
6	-500.000000	0.684286
8	-496.000000	4.984377
10	-492.000000	1.303906
12	-488.000000	4.175586
14	-484.000000	6.199385
16	-480.000000	6.655984
18	-476.000000	8.831911
20	-472.000000	11.046932
22	-468.000000	13.183764
24	-464.000000	14.095799
26	-460.000000	16.136463
28	-456.000000	18.211557
30	-452.000000	20.245471
32	-448.000000	22.261868
34	-444.000000	24.247952
36	-440.000000	26.214930
38	-436.000000	28.164943
40	-432.000000	30.121956
42	-428.000000	32.018770
44	-424.000000	33.930319
46	-420.000000	35.819662
48	-416.000000	37.672500
50	-412.000000	39.539103
52	-408.000000	41.384395
54	-404.000000	43.206048
56	-400.000000	45.028276
58	-396.000000	46.835636
60	-392.000000	48.642685
62	-388.000000	50.449769
64	-384.000000	52.225208
66	-380.000000	54.007813
68	-376.000000	55.763544
70	-372.000000	57.549756
72	-368.000000	59.292693
74	-364.000000	61.047484
76	-360.000000	62.787485
78	-356.000000	64.524563
80	-352.000000	66.236381
82	-348.000000	67.978511
84	-344.000000	69.712220
86	-340.000000	71.423567
88	-336.000000	73.133735
90	-332.000000	74.855553
92	-328.000000	76.558537
94	-324.000000	78.274397
96	-320.000000	79.971489
98	-316.000000	81.685713
100	-312.000000	83.363569
102	-308.000000	85.048798
104	-304.000000	86.730369
106	-300.000000	88.385921
108	-296.000000	90.047640
110	-292.000000	91.692381
112	-288.000000	93.335355
114	-284.000000	94.960645
116	-280.000000	96.595541
118	-276.000000	98.203104
120	-272.000000	99.812551
122	-268.000000	101.405898
124	-264.000000	102.983394
126	-260.000000	104.558758
128	-256.000000	106.102129
130	-252.000000	107.640270
132	-248.000000	109.183516
134	-244.000000	110.694084
136	-240.000000	112.200294
138	-236.000000	113.684297
140	-232.000000	115.156487
142	-228.000000	116.622077
144	-224.000000	118.063021
146	-220.000000	119.496059
148	-216.000000	120.901038
150	-212.000000	122.290602
152	-208.000000	123.668598
154	-204.000000	125.040427
156	-200.000000	126.389785
158	-196.000000	127.712091
160	-192.000000	129.018596
162	-188.000000	130.305324
164	-184.000000	131.586502
166	-180.000000	132.849292
168	-176.000000	134.088428
170	-172.000000	135.316112
172	-168.000000	136.517563
174	-164.000000	137.702672
176	-160.000000	138.865474
178	-156.000000	139.993935
180	-152.000000	141.122005
182	-148.000000	142.222802
184	-144.000000	143.300472
186	-140.000000	144.354879
188	-136.000000	145.393896
190	-132.000000	146.389864
192	-128.000000	147.391222
194	-124.000000	148.362074
196	-120.000000	149.308039
198	-116.000000	150.231977
200	-112.000000	151.127164
202	-108.000000	152.000246
204	-104.000000	152.857980
206	-100.000000	153.684027
208	-96.000000	154.503366
210	-92.000000	155.289512
212	-88.000000	156.050944
214	-84.000000	156.781085
216	-80.000000	157.481449
218	-76.000000	158.164598
220	-72.000000	158.818279
222	-68.000000	159.458229
224	-64.000000	160.074667
226	-60.000000	160.655101
228	-56.000000	161.205047
230	-52.000000	161.726326
232	-48.000000	162.230581
234	-44.000000	162.691733
236	-40.000000	163.126051
238	-36.000000	163.536489
240	-32.000000	163.924459
242	-28.000000	164.276021
244	-24.000000	164.603093
246	-20.000000	164.903732
248	-16.000000	165.177712
250	-12.000000	165.420502
252	-8.000000	165.639041
254	-4.000000	165.822206
256	0.000000	165.973702
258	4.000000	166.093018
260	8.000000	166.187861
262	12.000000	166.250573
264	16.000000	166.294009
266	20.000000	166.297974
268	24.000000	166.275062
270	28.000000	166.223163
272	32.000000	166.138403
274	36.000000	166.026248
