i	E(i)	g[i]
6	-116.000000	5.000000
8	-112.000000	6.000000
10	-108.000000	1.000000
12	-104.000000	7.000000
14	-100.000000	51.000000
16	-96.000000	53.500000
18	-92.000000	52.500000
20	-88.000000	54.500000
22	-84.000000	55.000000
24	-80.000000	55.500000
26	-76.000000	58.000000
28	-72.000000	89.333333
30	-68.000000	91.666667
32	-64.000000	94.333333
34	-60.000000	96.666667
36	-56.000000	94.666667
38	-52.000000	94.333333
40	-48.000000	86.000000
42	-44.000000	89.000000
44	-40.000000	90.750000
46	-36.000000	91.750000
48	-32.000000	93.250000
50	-28.000000	93.500000
52	-24.000000	94.500000
54	-20.000000	95.000000
56	-16.000000	94.500000
58	-12.000000	96.750000
60	-8.000000	95.000000
62	-4.000000	96.500000
64	0.000000	96.500000
66	4.000000	97.000000
68	8.000000	98.000000
70	12.000000	96.500000
72	16.000000	99.500000
74	20.000000	98.250000
76	24.000000	100.250000
78	28.000000	100.250000
80	32.000000	100.250000
82	36.000000	102.500000
84	40.000000	104.250000
86	44.000000	105.250000
88	48.000000	107.000000
90	52.000000	103.000000
92	56.000000	104.250000
94	60.000000	105.500000
96	64.000000	107.500000
98	68.000000	108.750000
100	72.000000	108.500000
102	76.000000	108.000000
104	80.000000	107.750000
106	84.000000	105.250000
108	88.000000	108.000000
110	92.000000	107.000000
112	96.000000	108.250000
114	100.000000	108.000000
116	104.000000	107.000000
118	108.000000	104.750000
120	112.000000	101.000000
122	116.000000	104.000000
124	120.000000	104.000000
126	124.000000	105.750000
128	128.000000	103.750000
130	132.000000	106.000000
132	136.000000	107.750000
134	140.000000	110.250000
136	144.000000	110.000000
138	148.000000	110.250000
140	152.000000	112.000000
142	156.000000	112.000000
144	160.000000	112.250000
146	164.000000	110.500000
148	168.000000	108.750000
150	172.000000	107.750000
152	176.000000	106.500000
154	180.000000	109.000000
156	184.000000	109.500000
158	188.000000	110.250000
160	192.000000	112.500000
162	196.000000	116.250000
164	200.000000	116.500000
166	204.000000	116.250000
168	208.000000	116.250000
170	212.000000	117.000000
172	216.000000	117.500000
174	220.000000	114.000000
176	224.000000	112.250000
178	228.000000	115.500000
180	232.000000	111.750000
182	236.000000	115.250000
184	240.000000	119.750000
186	244.000000	117.500000
188	248.000000	121.500000
190	252.000000	120.250000
192	256.000000	123.750000
194	260.000000	124.250000
196	264.000000	124.500000
198	268.000000	126.250000
200	272.000000	125.000000
202	276.000000	126.750000
204	280.000000	126.000000
206	284.000000	126.750000
208	288.000000	127.750000
210	292.000000	127.750000
212	296.000000	126.750000
214	300.000000	128.250000
216	304.000000	127.500000
218	308.000000	126.750000
220	312.000000	126.000000
222	316.000000	122.750000
224	320.000000	119.500000
226	324.000000	116.250000
228	328.000000	116.250000
230	332.000000	119.500000
232	336.000000	117.250000
234	340.000000	118.250000
236	344.000000	119.500000
238	348.000000	125.500000
240	352.000000	124.250000
242	356.000000	124.750000
244	360.000000	124.500000
246	364.000000	125.000000
248	368.000000	123.250000
250	372.000000	125.000000
252	376.000000	126.500000
254	380.000000	124.750000
256	384.000000	126.000000
258	388.000000	125.250000
260	392.000000	128.000000
262	396.000000	130.000000
264	400.000000	135.250000
266	404.000000	134.750000
268	408.000000	134.500000
270	412.000000	135.500000
272	416.000000	134.000000
274	420.000000	136.250000
276	424.000000	136.000000
278	428.000000	135.250000
280	432.000000	136.250000
282	436.000000	139.500000
284	440.000000	140.500000
286	444.000000	142.250000
288	448.000000	141.250000
290	452.000000	145.750000
292	456.000000	144.000000
294	460.000000	145.000000
296	464.000000	145.500000
298	468.000000	147.000000
300	472.000000	147.500000
302	476.000000	143.750000
304	480.000000	147.000000
306	484.000000	148.000000
308	488.000000	148.000000
310	492.000000	148.000000
312	496.000000	148.250000
314	500.000000	146.750000
316	504.000000	147.750000
318	508.000000	145.750000
320	512.000000	145.500000
322	516.000000	143.750000
324	520.000000	141.250000
326	524.000000	141.500000
328	528.000000	142.000000
330	532.000000	139.250000
332	536.000000	142.000000
334	540.000000	141.000000
336	544.000000	138.250000
338	548.000000	138.000000
340	552.000000	134.500000
342	556.000000	135.750000
344	560.000000	137.500000
346	564.000000	136.000000
348	568.000000	135.500000
350	572.000000	137.000000
352	576.000000	137.750000
354	580.000000	138.750000
356	584.000000	138.000000
358	588.000000	139.500000
360	592.000000	138.500000
362	596.000000	141.250000
364	600.000000	141.250000
366	604.000000	141.750000
368	608.000000	140.250000
370	612.000000	139.500000
372	616.000000	139.000000
374	620.000000	134.750000
376	624.000000	137.500000
378	628.000000	135.500000
380	632.000000	137.500000
382	636.000000	136.500000
384	640.000000	136.750000
386	644.000000	137.750000
388	648.000000	138.250000
390	652.000000	138.250000
392	656.000000	138.750000
394	660.000000	141.250000
396	664.000000	139.250000
398	668.000000	139.500000
400	672.000000	138.750000
402	676.000000	140.500000
404	680.000000	144.750000
406	684.000000	143.250000
408	688.000000	146.250000
410	692.000000	144.000000
412	696.000000	147.250000
414	700.000000	146.750000
416	704.000000	145.500000
418	708.000000	146.750000
420	712.000000	146.250000
422	716.000000	146.000000
424	720.000000	143.750000
426	724.000000	149.000000
428	728.000000	151.250000
430	732.000000	151.250000
432	736.000000	152.500000
434	740.000000	149.500000
436	744.000000	152.250000
438	748.000000	151.250000
