T	Ut	Ft	St	Ct
0.01000000	-2.00000000	-2.00003906	0.00390625	0.00000000
0.02000000	-2.00000000	-2.00007812	0.00390625	0.00000000
0.03000000	-2.00000000	-2.00011719	0.00390625	0.00000000
0.04000000	-2.00000000	-2.00015625	0.00390625	0.00000000
0.05000000	-2.00000000	-2.00019531	0.00390625	0.00000000
0.06000000	-2.00000000	-2.00023437	0.00390625	0.00000000
0.07000000	-2.00000000	-2.00027344	0.00390625	0.00000000
0.08000000	-2.00000000	-2.00031250	0.00390625	0.00000000
0.09000000	-2.00000000	-2.00035156	0.00390625	0.00000000
0.10000000	-2.00000000	-2.00039062	0.00390625	0.00000000
0.11000000	-2.00000000	-2.00042969	0.00390625	0.00000000
0.12000000	-2.00000000	-2.00046875	0.00390625	0.00000000
0.13000000	-2.00000000	-2.00050781	0.00390625	-0.00000000
0.14000000	-2.00000000	-2.00054687	0.00390625	0.00000000
0.15000000	-2.00000000	-2.00058594	0.00390625	0.00000000
0.16000000	-2.00000000	-2.00062500	0.00390625	0.00000000
0.17000000	-2.00000000	-2.00066406	0.00390625	0.00000000
0.18000000	-2.00000000	-2.00070313	0.00390625	0.00000000
0.19000000	-2.00000000	-2.00074219	0.00390625	0.00000000
0.20000000	-2.00000000	-2.00078125	0.00390625	0.00000000
0.21000000	-2.00000000	-2.00082031	0.00390625	0.00000001
0.22000000	-2.00000000	-2.00085938	0.00390625	0.00000002
0.23000000	-2.00000000	-2.00089844	0.00390625	0.00000003
0.24000000	-2.00000000	-2.00093750	0.00390625	0.00000006
0.25000000	-2.00000000	-2.00097656	0.00390626	0.00000011
0.26000000	-2.00000000	-2.00101563	0.00390626	0.00000019
0.27000000	-1.99999999	-2.00105469	0.00390627	0.00000032
0.28000000	-1.99999999	-2.00109375	0.00390629	0.00000050
0.29000000	-1.99999998	-2.00113281	0.00390631	0.00000076
0.30000000	-1.99999997	-2.00117188	0.00390634	0.00000112
0.31000000	-1.99999996	-2.00121094	0.00390639	0.00000162
0.32000000	-1.99999994	-2.00125000	0.00390645	0.00000227
0.33000000	-1.99999991	-2.00128907	0.00390653	0.00000312
0.34000000	-1.99999988	-2.00132814	0.00390664	0.00000420
0.35000000	-1.99999983	-2.00136720	0.00390678	0.00000555
0.36000000	-1.99999977	-2.00140627	0.00390696	0.00000721
0.37000000	-1.99999968	-2.00144534	0.00390718	0.00000921
0.38000000	-1.99999958	-2.00148441	0.00390746	0.00001161
0.39000000	-1.99999945	-2.00152349	0.00390779	0.00001444
0.40000000	-1.99999929	-2.00156257	0.00390820	0.00001774
0.41000000	-1.99999909	-2.00160166	0.00390868	0.00002154
0.42000000	-1.99999886	-2.00164074	0.00390925	0.00002590
0.43000000	-1.99999857	-2.00167984	0.00390992	0.00003084
0.44000000	-1.99999824	-2.00171894	0.00391069	0.00003639
0.45000000	-1.99999784	-2.00175805	0.00391158	0.00004258
