T	Ut	Ft	St	Ct
0.0100	-1.8750	-9.7796	790.4561	0.0000
0.0200	-1.8750	-17.6841	790.4561	0.0000
0.0300	-1.8750	-25.5887	790.4561	0.0000
0.0400	-1.8750	-33.4932	790.4561	0.0000
0.0500	-1.8750	-41.3978	790.4561	0.0000
0.0600	-1.8750	-49.3024	790.4561	0.0000
0.0700	-1.8750	-57.2069	790.4561	0.0000
0.0800	-1.8750	-65.1115	790.4561	0.0000
0.0900	-1.8750	-73.0160	790.4561	0.0000
0.1000	-1.8750	-80.9206	790.4561	0.0000
0.1100	-1.8750	-88.8252	790.4561	0.0000
0.1200	-1.8750	-96.7297	790.4561	-0.0000
0.1300	-1.8750	-104.6343	790.4561	-0.0000
0.1400	-1.8750	-112.5388	790.4561	0.0000
0.1500	-1.8750	-120.4434	790.4561	0.0000
0.1600	-1.8750	-128.3480	790.4561	0.0000
0.1700	-1.8750	-136.2525	790.4561	0.0000
0.1800	-1.8750	-144.1571	790.4561	0.0000
0.1900	-1.8750	-152.0617	790.4561	0.0000
0.2000	-1.8750	-159.9662	790.4561	0.0000
0.2100	-1.8750	-167.8708	790.4561	0.0000
0.2200	-1.8750	-175.7753	790.4561	0.0000
0.2300	-1.8750	-183.6799	790.4561	0.0000
0.2400	-1.8750	-191.5845	790.4561	0.0000
0.2500	-1.8750	-199.4890	790.4561	0.0000
0.2600	-1.8750	-207.3936	790.4561	0.0000
0.2700	-1.8750	-215.2981	790.4561	0.0000
0.2800	-1.8750	-223.2027	790.4561	0.0000
0.2900	-1.8750	-231.1073	790.4561	0.0000
0.3000	-1.8750	-239.0118	790.4561	0.0000
0.3100	-1.8750	-246.9164	790.4561	0.0000
0.3200	-1.8750	-254.8209	790.4561	0.0000
0.3300	-1.8750	-262.7255	790.4561	0.0000
0.3400	-1.8750	-270.6301	790.4561	0.0000
0.3500	-1.8750	-278.5346	790.4561	0.0000
0.3600	-1.8750	-286.4392	790.4561	0.0001
0.3700	-1.8750	-294.3437	790.4561	0.0001
0.3800	-1.8750	-302.2483	790.4561	0.0001
0.3900	-1.8750	-310.1529	790.4561	0.0001
0.4000	-1.8750	-318.0574	790.4561	0.0001
0.4100	-1.8750	-325.9620	790.4561	0.0002
0.4200	-1.8750	-333.8665	790.4561	0.0002
0.4300	-1.8750	-341.7711	790.4561	0.0003
0.4400	-1.8750	-349.6757	790.4561	0.0003
0.4500	-1.8750	-357.5802	790.4561	0.0004
0.4600	-1.8750	-365.4848	790.4561	0.0004
0.4700	-1.8750	-373.3894	790.4561	0.0005
0.4800	-1.8750	-381.2939	790.4561	0.0006
0.4900	-1.8750	-389.1985	790.4561	0.0006
0.5000	-1.8750	-397.1030	790.4562	0.0007
0.5100	-1.8749	-405.0076	790.4562	0.0008
0.5200	-1.8749	-412.9122	790.4562	0.0009
0.5300	-1.8749	-420.8167	790.4562	0.0010
0.5400	-1.8749	-428.7213	790.4562	0.0011
0.5500	-1.8749	-436.6258	790.4562	0.0012
0.5600	-1.8749	-444.5304	790.4563	0.0014
0.5700	-1.8749	-452.4350	790.4563	0.0015
0.5800	-1.8749	-460.3395	790.4563	0.0017
0.5900	-1.8748	-468.2441	790.4564	0.0018
0.6000	-1.8748	-476.1487	790.4564	0.0020
0.6100	-1.8748	-484.0532	790.4564	0.0022
0.6200	-1.8748	-491.9578	790.4565	0.0024
0.6300	-1.8748	-499.8624	790.4565	0.0026
0.6400	-1.8747	-507.7669	790.4565	0.0028
0.6500	-1.8747	-515.6715	790.4566	0.0030
0.6600	-1.8747	-523.5760	790.4566	0.0032
0.6700	-1.8746	-531.4806	790.4567	0.0035
0.6800	-1.8746	-539.3852	790.4567	0.0037
0.6900	-1.8746	-547.2898	790.4568	0.0040
0.7000	-1.8745	-555.1943	790.4569	0.0043
0.7100	-1.8745	-563.0989	790.4569	0.0046
0.7200	-1.8744	-571.0035	790.4570	0.0049
0.7300	-1.8744	-578.9080	790.4571	0.0053
0.7400	-1.8743	-586.8126	790.4571	0.0056
0.7500	-1.8743	-594.7172	790.4572	0.0060
0.7600	-1.8742	-602.6217	790.4573	0.0064
0.7700	-1.8741	-610.5263	790.4574	0.0068
0.7800	-1.8741	-618.4309	790.4575	0.0073
0.7900	-1.8740	-626.3355	790.4576	0.0077
0.8000	-1.8739	-634.2400	790.4577	0.0082
0.8100	-1.8738	-642.1446	790.4578	0.0087
