T	Ut	Ft	St	Ct
0.0100	-1.9688	-4.3848	241.6022	0.0000
0.0200	-1.9688	-6.8008	241.6022	0.0000
0.0300	-1.9688	-9.2168	241.6022	0.0000
0.0400	-1.9688	-11.6328	241.6022	0.0000
0.0500	-1.9688	-14.0489	241.6022	0.0000
0.0600	-1.9688	-16.4649	241.6022	0.0000
0.0700	-1.9688	-18.8809	241.6022	0.0000
0.0800	-1.9688	-21.2969	241.6022	0.0000
0.0900	-1.9688	-23.7129	241.6022	0.0000
0.1000	-1.9688	-26.1290	241.6022	0.0000
0.1100	-1.9687	-28.5450	241.6022	0.0000
0.1200	-1.9688	-30.9610	241.6022	0.0000
0.1300	-1.9687	-33.3770	241.6022	0.0000
0.1400	-1.9687	-35.7931	241.6022	0.0000
0.1500	-1.9687	-38.2091	241.6022	0.0000
0.1600	-1.9687	-40.6251	241.6022	0.0000
0.1700	-1.9687	-43.0411	241.6022	0.0000
0.1800	-1.9687	-45.4571	241.6022	0.0000
0.1900	-1.9687	-47.8732	241.6022	0.0000
0.2000	-1.9687	-50.2892	241.6022	0.0000
0.2100	-1.9687	-52.7052	241.6022	0.0000
0.2200	-1.9687	-55.1212	241.6022	0.0000
0.2300	-1.9687	-57.5372	241.6022	0.0000
0.2400	-1.9687	-59.9533	241.6022	0.0000
0.2500	-1.9687	-62.3693	241.6022	0.0000
0.2600	-1.9687	-64.7853	241.6022	0.0000
0.2700	-1.9687	-67.2013	241.6022	0.0000
0.2800	-1.9687	-69.6174	241.6022	0.0000
0.2900	-1.9687	-72.0334	241.6022	0.0000
0.3000	-1.9687	-74.4494	241.6022	0.0000
0.3100	-1.9687	-76.8654	241.6022	0.0000
0.3200	-1.9687	-79.2814	241.6022	0.0000
0.3300	-1.9687	-81.6975	241.6022	0.0000
0.3400	-1.9687	-84.1135	241.6022	0.0000
0.3500	-1.9687	-86.5295	241.6022	0.0000
0.3600	-1.9687	-88.9455	241.6022	0.0000
0.3700	-1.9687	-91.3615	241.6022	0.0000
0.3800	-1.9687	-93.7776	241.6022	0.0000
0.3900	-1.9687	-96.1936	241.6022	0.0000
0.4000	-1.9687	-98.6096	241.6022	0.0000
0.4100	-1.9687	-101.0256	241.6022	0.0000
0.4200	-1.9687	-103.4417	241.6022	0.0001
0.4300	-1.9687	-105.8577	241.6022	0.0001
0.4400	-1.9687	-108.2737	241.6022	0.0001
